extension_nm	force_f	retraction_nm	force_r
4539.017011	-5915.844922	5116.107728	42838.44599
4539.115165	-5911.787315	5115.949838	42832.35952
4539.213329	-5913.816119	5115.791961	42828.30187
4539.311503	-5913.816119	5115.634097	42820.18658
4539.409688	-5913.816119	5115.476246	42818.15775
4539.507884	-5917.873726	5115.318408	42810.04246
4539.60609	-5917.873726	5115.160583	42801.92717
4539.704307	-5917.873726	5115.002771	42793.81187
4539.802534	-5919.90253	5114.844972	42781.63893
4539.900772	-5923.960137	5114.687186	42763.37952
4539.99902	-5919.90253	5114.529413	42745.1201
4540.097279	-5919.90253	5114.371653	42722.80304
4540.195548	-5923.960137	5114.213905	42696.42834
4540.293828	-5923.960137	5114.056171	42665.99599
4540.392118	-5923.960137	5113.89845	42639.62128
4540.490419	-5921.931333	5113.740742	42609.18893
4540.58873	-5919.90253	5113.583046	42582.81422
4540.687052	-5917.873726	5113.425364	42560.49717
4540.785384	-5913.816119	5113.267695	42540.20893
4540.883727	-5911.787315	5113.110038	42523.97835
4540.982081	-5907.729708	5112.952395	42509.77658
4541.080445	-5903.6721	5112.794765	42495.57482
4541.178819	-5905.700904	5112.637147	42489.48835
4541.277204	-5907.729708	5112.479543	42479.34423
4541.3756	-5909.758511	5112.321951	42469.20012
4541.474006	-5909.758511	5112.164373	42461.08482
4541.572423	-5917.873726	5112.006807	42448.91189
4541.67085	-5917.873726	5111.849255	42438.76777
4541.769288	-5923.960137	5111.691715	42426.59483
4541.867736	-5921.931333	5111.534189	42408.33542
4541.966195	-5925.988941	5111.376675	42386.01837
4542.064664	-5925.988941	5111.219174	42363.70131
4542.163144	-5928.017744	5111.061687	42343.41308
4542.261635	-5928.017744	5110.904212	42317.03838
4542.360136	-5928.017744	5110.74675	42294.72132
4542.458648	-5921.931333	5110.589302	42270.37545
4542.55717	-5921.931333	5110.431866	42244.00075
4542.655703	-5919.90253	5110.274443	42225.74134
4542.754246	-5913.816119	5110.117034	42207.48193
4542.8528	-5911.787315	5109.959637	42187.1937
4542.951364	-5913.816119	5109.802253	42168.9343
4543.049939	-5911.787315	5109.644882	42148.64607
4543.148525	-5909.758511	5109.487525	42134.44431
4543.247121	-5909.758511	5109.33018	42118.21372
4543.345728	-5905.700904	5109.172848	42099.95432
4543.444345	-5905.700904	5109.015529	42085.75256
4543.542973	-5907.729708	5108.858223	42059.37786
4543.641611	-5909.758511	5108.70093	42039.08963
4543.74026	-5903.6721	5108.543651	42010.68611
4543.83892	-5903.6721	5108.386384	41984.31142
4543.93759	-5903.6721	5108.22913	41953.87907
4544.03627	-5901.643297	5108.071889	41919.38909
4544.134962	-5897.585689	5107.914661	41888.95675
4544.233664	-5899.614493	5107.757446	41854.46676
4544.332376	-5897.585689	5107.600244	41826.06325
4544.431099	-5899.614493	5107.443055	41793.60208
4544.529833	-5897.585689	5107.285879	41769.25621
4544.628577	-5899.614493	5107.128716	41744.91034
4544.727332	-5895.556886	5106.971566	41720.56447
4544.826097	-5893.528082	5106.814429	41700.27625
4544.924873	-5895.556886	5106.657305	41679.98802
4545.02366	-5891.499278	5106.500194	41659.6998
4545.122457	-5895.556886	5106.343096	41643.46922
4545.221265	-5891.499278	5106.186011	41625.20982
4545.320083	-5899.614493	5106.028939	41611.00806
4545.418912	-5897.585689	5105.87188	41596.80631
4545.517751	-5907.729708	5105.714834	41586.66219
4545.616602	-5903.6721	5105.557801	41578.5469
4545.715462	-5909.758511	5105.400781	41570.43162
4545.814334	-5909.758511	5105.243774	41568.40279
4545.913216	-5911.787315	5105.08678	41562.31633
4546.012108	-5915.844922	5104.929799	41554.20104
