"extension","force_f","retraction","force_r"
4257.727058,-779.089431,4256.362843,-770.994245
4257.845999,-775.041838,4256.482715,-770.994245
4257.964941,-775.041838,4256.602586,-770.994245
4258.083882,-773.018041,4256.722457,-774.02994
4258.202822,-769.982347,4256.842326,-774.02994
4258.321763,-768.970448,4256.962195,-772.006143
4258.440703,-768.970448,4257.082063,-772.006143
4258.559643,-767.95855,4257.20193,-769.982347
4258.678583,-768.970448,4257.321796,-769.982347
4258.797523,-770.994245,4257.441661,-768.970448
4258.916462,-775.041838,4257.561525,-765.934753
4259.035401,-772.006143,4257.681388,-763.910957
4259.15434,-776.053736,4257.80125,-763.910957
4259.273278,-777.065635,4257.921112,-761.88716
4259.392217,-775.041838,4258.040972,-763.910957
4259.511155,-778.077533,4258.160832,-761.88716
4259.630092,-778.077533,4258.280691,-763.910957
4259.74903,-780.10133,4258.400549,-763.910957
4259.867967,-779.089431,4258.520406,-763.910957
4259.986904,-777.065635,4258.640262,-764.922855
4260.105841,-777.065635,4258.760117,-766.946652
4260.224777,-778.077533,4258.879971,-767.95855
4260.343714,-775.041838,4258.999825,-766.946652
4260.46265,-775.041838,4259.119678,-766.946652
4260.581585,-774.02994,4259.239529,-768.970448
4260.700521,-772.006143,4259.35938,-768.970448
4260.819456,-773.018041,4259.47923,-768.970448
4260.938391,-772.006143,4259.599079,-769.982347
4261.057326,-772.006143,4259.718927,-766.946652
4261.176261,-773.018041,4259.838774,-768.970448
4261.295195,-770.994245,4259.958621,-767.95855
4261.414129,-772.006143,4260.078466,-766.946652
4261.533063,-770.994245,4260.198311,-765.934753
4261.651996,-770.994245,4260.318155,-763.910957
4261.770929,-770.994245,4260.437997,-759.863364
4261.889863,-775.041838,4260.557839,-758.851465
4262.008795,-774.02994,4260.67768,-757.839567
4262.127728,-775.041838,4260.797521,-755.81577
4262.24666,-777.065635,4260.91736,-758.851465
4262.365592,-779.089431,4261.037198,-756.827669
4262.484524,-779.089431,4261.157036,-755.81577
4262.603456,-777.065635,4261.276873,-756.827669
4262.722387,-780.10133,4261.396708,-758.851465
4262.841318,-779.089431,4261.516543,-758.851465
4262.960249,-779.089431,4261.636377,-760.875262
4263.079179,-779.089431,4261.756211,-762.899058
4263.19811,-778.077533,4261.876043,-764.922855
4263.31704,-777.065635,4261.995874,-764.922855
4263.43597,-776.053736,4262.115705,-766.946652
4263.554899,-776.053736,4262.235534,-766.946652
4263.673829,-776.053736,4262.355363,-768.970448
4263.792758,-776.053736,4262.475191,-767.95855
4263.911687,-778.077533,4262.595018,-767.95855
4264.030615,-778.077533,4262.714844,-766.946652
4264.149544,-775.041838,4262.83467,-764.922855
4264.268472,-776.053736,4262.954494,-765.934753
4264.3874,-775.041838,4263.074318,-763.910957
4264.506328,-776.053736,4263.19414,-763.910957
4264.625255,-776.053736,4263.313962,-763.910957
4264.744182,-775.041838,4263.433783,-764.922855
4264.863109,-774.02994,4263.553603,-763.910957
4264.982036,-775.041838,4263.673422,-765.934753
4265.100962,-775.041838,4263.793241,-764.922855
4265.219889,-774.02994,4263.913058,-764.922855
4265.338815,-776.053736,4264.032875,-764.922855
4265.45774,-776.053736,4264.15269,-765.934753
4265.576666,-777.065635,4264.272505,-765.934753
4265.695591,-778.077533,4264.392319,-763.910957
4265.814516,-777.065635,4264.512132,-761.88716
4265.933441,-779.089431,4264.631945,-762.899058
4266.052366,-780.10133,4264.751756,-764.922855
4266.17129,-783.137024,4264.871566,-763.910957
4266.290214,-783.137024,4264.991376,-763.910957
