"extension","force_f","retraction","force_r"
-4748.356916,-86.2241551400002,-4749.887321,222.15400386
-4748.477988,-86.2241551400002,-4750.01018,218.09639686
-4748.599073,-86.2241551400002,-4750.133054,220.125200859999
-4748.720171,-88.2529591400007,-4750.255941,212.00998586
-4748.841283,-84.1953511400006,-4750.378842,207.95237786
-4748.962409,-86.2241551400002,-4750.501757,203.89477086
-4749.083548,-84.1953511400006,-4750.624686,193.75075186
-4749.2047,-84.1953511400006,-4750.747629,189.69314486
-4749.325865,-84.1953511400006,-4750.870586,177.520322859999
-4749.447044,-80.13774414,-4750.993557,169.40510786
-4749.568237,-78.1089401400004,-4751.116541,165.34749986
-4749.689443,-78.1089401400004,-4751.23954,153.17467786
-4749.810662,-74.0513331400007,-4751.362553,141.00185586
-4749.931894,-76.0801371400003,-4751.485579,126.800229859999
-4750.053141,-76.0801371400003,-4751.60862,116.65621186
-4750.1744,-78.1089401400004,-4751.731674,108.54099686
-4750.295673,-80.13774414,-4751.854742,100.42578186
-4750.416959,-84.1953511400006,-4751.977825,88.2529598599995
-4750.538259,-84.1953511400006,-4752.100921,84.1953528599997
-4750.659572,-90.28176214,-4752.224031,80.1377448599997
-4750.780899,-94.33937014,-4752.347155,76.0801378599999
-4750.902239,-94.33937014,-4752.470293,74.0513338599994
-4751.023592,-96.3681731400002,-4752.593445,74.0513338599994
-4751.144959,-96.3681731400002,-4752.716611,74.0513338599994
-4751.266339,-94.33937014,-4752.83979,69.9937268599997
-4751.387733,-96.3681731400002,-4752.962984,72.0225308599993
-4751.50914,-94.33937014,-4753.086192,72.0225308599993
-4751.63056,-92.3105661400004,-4753.209413,72.0225308599993
-4751.751994,-92.3105661400004,-4753.332649,72.0225308599993
-4751.873442,-86.2241551400002,-4753.455898,69.9937268599997
-4751.994903,-86.2241551400002,-4753.579161,63.9073158599995
-4752.116377,-82.1665481400005,-4753.702438,61.8785118599999
-4752.237865,-84.1953511400006,-4753.82573,57.8209048599992
-4752.359366,-86.2241551400002,-4753.949035,47.6768858599999
-4752.48088,-80.13774414,-4754.072354,39.5616718599995
-4752.602408,-80.13774414,-4754.195687,31.4464568599997
-4752.72395,-82.1665481400005,-4754.319033,25.3600458599994
-4752.845505,-82.1665481400005,-4754.442394,17.2448308599996
-4752.967073,-86.2241551400002,-4754.565769,11.1584198599994
-4753.088655,-80.13774414,-4754.689157,5.0720088600001
-4753.21025,-86.2241551400002,-4754.81256,5.0720088600001
-4753.331859,-84.1953511400006,-4754.935976,-5.07200914000077
-4753.453481,-82.1665481400005,-4755.059407,-7.10081314000035
-4753.575117,-76.0801371400003,-4755.182851,-9.12961614000051
-4753.696766,-74.0513331400007,-4755.306309,-9.12961614000051
-4753.818429,-74.0513331400007,-4755.429781,-11.1584201400001
-4753.940105,-67.9649221400005,-4755.553267,-15.2160271400007
-4754.061794,-69.99372614,-4755.676767,-15.2160271400007
-4754.183497,-65.9361191400003,-4755.800281,-13.1872241400006
