"extension","force_f","retraction","force_r"
4539.115165,-5911.787315,4540.417844,-5980.76664
4539.213329,-5913.816119,4540.513311,-5978.737836
4539.311503,-5913.816119,4540.608793,-5978.737836
4539.409688,-5913.816119,4540.704289,-5982.795443
4539.507884,-5917.873726,4540.7998,-5976.709032
4539.60609,-5917.873726,4540.895326,-5986.853051
4539.704307,-5917.873726,4540.990866,-5982.795443
4539.802534,-5919.90253,4541.086421,-5984.824247
4539.900772,-5923.960137,4541.181991,-5986.853051
4539.99902,-5919.90253,4541.277575,-5990.910658
4540.097279,-5919.90253,4541.373174,-5990.910658
4540.195548,-5923.960137,4541.468788,-5990.910658
4540.293828,-5923.960137,4541.564416,-5988.881855
4540.392118,-5923.960137,4541.660059,-5992.939462
4540.490419,-5921.931333,4541.755716,-5990.910658
4540.58873,-5919.90253,4541.851388,-5992.939462
4540.687052,-5917.873726,4541.947075,-5994.968266
4540.785384,-5913.816119,4542.042776,-5996.997069
4540.883727,-5911.787315,4542.138492,-5992.939462
4540.982081,-5907.729708,4542.234223,-5994.968266
4541.080445,-5903.6721,4542.329968,-5992.939462
4541.178819,-5905.700904,4542.425728,-5990.910658
4541.277204,-5907.729708,4542.521503,-5992.939462
4541.3756,-5909.758511,4542.617292,-5990.910658
4541.474006,-5909.758511,4542.713096,-5988.881855
4541.572423,-5917.873726,4542.808914,-5990.910658
4541.67085,-5917.873726,4542.904747,-5988.881855
4541.769288,-5923.960137,4543.000595,-5984.824247
4541.867736,-5921.931333,4543.096457,-5984.824247
4541.966195,-5925.988941,4543.192334,-5980.76664
4542.064664,-5925.988941,4543.288226,-5978.737836
4542.163144,-5928.017744,4543.384132,-5982.795443
4542.261635,-5928.017744,4543.480053,-5976.709032
4542.360136,-5928.017744,4543.575989,-5980.76664
4542.458648,-5921.931333,4543.671939,-5974.680229
4542.55717,-5921.931333,4543.767904,-5976.709032
4542.655703,-5919.90253,4543.863883,-5974.680229
4542.754246,-5913.816119,4543.959877,-5974.680229
4542.8528,-5911.787315,4544.055886,-5972.651425
4542.951364,-5913.816119,4544.151909,-5974.680229
4543.049939,-5911.787315,4544.247947,-5972.651425
4543.148525,-5909.758511,4544.344,-5970.622621
4543.247121,-5909.758511,4544.440067,-5974.680229
4543.345728,-5905.700904,4544.536149,-5972.651425
4543.444345,-5905.700904,4544.632245,-5974.680229
4543.542973,-5907.729708,4544.728357,-5970.622621
4543.641611,-5909.758511,4544.824482,-5968.593818
4543.74026,-5903.6721,4544.920623,-5970.622621
4543.83892,-5903.6721,4545.016778,-5972.651425
4543.93759,-5903.6721,4545.112947,-5966.565014
4544.03627,-5901.643297,4545.209131,-5962.507407
4544.134962,-5897.585689,4545.30533,-5962.507407
4544.233664,-5899.614493,4545.401544,-5958.449799
4544.332376,-5897.585689,4545.497772,-5956.420996
4544.431099,-5899.614493,4545.594015,-5948.305781
4544.529833,-5897.585689,4545.690272,-5950.334585
4544.628577,-5899.614493,4545.786544,-5952.363388
4544.727332,-5895.556886,4545.882831,-5952.363388
4544.826097,-5893.528082,4545.979132,-5954.392192
4544.924873,-5895.556886,4546.075448,-5954.392192
4545.02366,-5891.499278,4546.171778,-5956.420996
4545.122457,-5895.556886,4546.268123,-5962.507407
4545.221265,-5891.499278,4546.364483,-5958.449799
4545.320083,-5899.614493,4546.460857,-5960.478603
4545.418912,-5897.585689,4546.557246,-5960.478603
4545.517751,-5907.729708,4546.65365,-5968.593818
4545.616602,-5903.6721,4546.750068,-5966.565014
4545.715462,-5909.758511,4546.846501,-5970.622621
4545.814334,-5909.758511,4546.942948,-5972.651425
4545.913216,-5911.787315,4547.03941,-5974.680229
4546.012108,-5915.844922,4547.135887,-5970.622621
4546.111012,-5915.844922,4547.232378,-5970.622621
4546.209925,-5917.873726,4547.328884,-5970.622621
4546.30885,-5917.873726,4547.425405,-5964.53621
4546.407785,-5919.90253,4547.52194,-5966.565014
4546.506731,-5915.844922,4547.61849,-5962.507407
4546.605687,-5921.931333,4547.715054,-5964.53621
4546.704654,-5917.873726,4547.811633,-5964.53621
4546.803631,-5917.873726,4547.908227,-5958.449799
4546.902619,-5921.931333,4548.004835,-5958.449799
4547.001618,-5917.873726,4548.101458,-5960.478603
4547.100628,-5919.90253,4548.198095,-5960.478603
4547.199648,-5921.931333,4548.294747,-5960.478603
4547.298678,-5921.931333,4548.391414,-5960.478603
4547.39772,-5919.90253,4548.488095,-5968.593818
